"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"267",4.38847155182828,21.9786332196059,1,0,0,0,794,0,0,1046
"268",6.21995952495154,45.6612178723441,1,0,0,0,1067,0,0,1763
"269",6.01492594548871,33.1673036116289,1,0,0,0,924,0,0,1174
"270",5.93662494063922,31.681257729942,1,0,0,0,87,0,0,1271
"271",3.08754155408234,17.3978209653844,1,0,0,0,371,0,0,1340
"272",5.2051606866277,36.2602184722499,1,0,0,0,834,0,0,1624
"273",6.07407546512019,36.7493620988581,1,0,0,0,220,0,0,1333
"274",5.08106343200013,33.5171565057932,1,0,0,0,643,0,0,1566
"275",4.06790390076989,24.3183688739206,1,0,0,0,488,0,0,1417
"276",5.14189139765473,32.9995362181158,1,0,0,0,506,0,0,1495
"277",5.76491404844604,34.3569248595049,1,0,0,0,229,0,0,1450
"278",4.65348120178147,30.8296356458831,1,0,0,0,1038,0,0,1699
"279",4.6663906881226,30.2675011619001,1,0,0,0,635,0,0,1547
"280",6.22617117392856,25.6821980405783,1,0,0,0,3481,0,0,872
"281",4.35755750065347,28.1812813306485,1,0,0,0,1221,0,0,1816
"282",5.63605592837123,32.2925946571628,1,0,0,0,103,0,0,1260
"283",3.37546108803004,9.71905386866226,1,0,0,0,3494,0,0,778
"284",3.35024464702564,12.4406384421461,1,0,0,0,2363,0,0,802
"285",5.19259152887424,38.0710279661713,1,0,0,0,1163,0,0,1786
"286",5.42227204419932,34.3313912967344,1,0,0,0,428,0,0,1526
"287",4.11667576955222,25.682995183889,1,0,0,0,798,0,0,1589
"288",5.15630316683764,36.0251517719473,1,0,0,0,985,0,0,1743
"289",3.60076632269855,24.6198263290107,1,0,0,0,1047,0,0,1656
"290",5.22499475491405,22.8576270396634,1,0,0,0,2055,0,0,916
"291",4.2379945077165,27.7137596416238,1,0,0,0,941,0,0,1629
"292",4.05164019780957,22.3533041709877,1,0,0,0,468,0,0,1383
"293",4.60791673327218,31.56840543787,1,0,0,0,519,0,0,1524
"294",5.4974586118067,28.5536250319506,1,0,0,0,687,0,0,1139
"295",4.23667475609616,18.9650636545094,1,0,0,0,1826,0,0,911
"296",5.41002323113649,39.2676980414399,1,0,0,0,1050,0,0,1792
"297",4.79439060017207,23.9832439265335,1,0,0,0,846,0,0,1093
"298",4.78538100982656,28.2033375038622,1,0,0,0,253,0,0,1363
"299",4.86102817491434,28.3898746788838,1,0,0,0,192,0,0,1282
"300",5.28876591246657,29.6133111169712,1,0,0,0,84,0,0,1387
"301",4.10884507355036,26.8056079582599,1,0,0,0,1009,0,0,1691
"302",4.04640417845457,20.3226341118459,1,0,0,0,731,0,0,1090
"303",5.44713544860536,37.4448634605159,1,0,0,0,1103,0,0,1749
"304",6.11029686215199,36.88758229081,1,0,0,0,45,0,0,1408
"305",4.40344262922691,27.9715862693034,1,0,0,0,189,0,0,1427
"306",5.12092407709979,23.6988548660579,1,0,0,0,1441,0,0,1016
"307",3.99183836795477,25.5499217923005,1,0,0,0,936,0,0,1673
"308",4.75441000845835,34.0048390070974,1,0,0,0,1170,0,0,1773
"309",5.82642945975349,39.9580352549113,1,0,0,0,1146,0,0,1823
"310",4.8859421385116,16.9004884312613,1,0,0,0,4306,0,0,780
"311",5.02080629569686,26.1174671330328,1,0,0,0,244,0,0,1271
"312",4.57466230608915,31.7727228697113,1,0,0,0,919,0,0,1659
"313",4.55774753453678,23.5982850031583,1,0,0,0,990,0,0,1080
"314",4.37317991796707,27.0618194646703,1,0,0,0,420,0,0,1427
"315",4.71060855963114,25.869972886341,1,0,0,0,203,0,0,1240
"316",2.87589243396025,14.9620069769215,1,0,0,0,114,0,0,1219
"317",3.09425496297175,18.4186240492148,1,0,0,0,696,0,0,1506
"318",5.13184068757711,32.091623292792,1,0,0,0,457,0,0,1417
"319",4.58706997548238,27.2525418362643,1,0,0,0,477,0,0,1516
"320",5.51305100787747,39.8924233129883,1,0,0,0,1160,0,0,1807
"321",5.2596010110707,37.3105720645748,1,0,0,0,1062,0,0,1766
"322",5.81143591946929,36.5548795643107,1,0,0,0,328,0,0,1468
"323",5.51595203447243,39.4341399876498,1,0,0,0,1166,0,0,1781
"324",5.56439076970094,37.1334979274573,1,0,0,0,906,0,0,1681
"325",4.52449637568578,29.7882983749586,1,0,0,0,687,0,0,1554
"326",4.07619485119763,26.5734831295978,1,0,0,0,1009,0,0,1663
"327",5.85207904156981,33.9118648853754,1,0,0,0,35,0,0,1351
"328",5.52757196694868,36.4775525841245,1,0,0,0,632,0,0,1583
"329",5.88316660490964,38.1319703812568,1,0,0,0,491,0,0,1538
"330",5.1002795668036,34.6951724938785,1,0,0,0,565,0,0,1575
"331",7.36932959143052,44.9683602956928,1,0,0,0,3,0,0,1404
"332",4.30041276724283,24.7943334723109,1,0,0,0,206,0,0,1364
"333",5.84603742902628,29.4980169845165,1,0,0,0,1171,0,0,1123
"334",5.70401035971847,22.6183737902284,1,0,0,0,2552,0,0,899
"335",5.478492477321,30.5667196804506,1,0,0,0,317,0,0,1266
"336",4.83752955840102,30.9376309251795,1,0,0,0,811,0,0,1557
"337",5.17274766547528,17.6062663602031,1,0,0,0,4326,0,0,778
"338",6.06056161283978,38.1901377466755,1,0,0,0,500,0,0,1566
"339",3.70940623694126,10.7193220391658,1,0,0,0,4264,0,0,778
"340",4.13318051205387,20.274067167115,1,0,0,0,1142,0,0,1067
"341",4.29618868099063,24.7026097499128,1,0,0,0,319,0,0,1398
"342",4.2900553008961,23.8002299649845,1,0,0,0,216,0,0,1258
"343",4.72175032399474,32.9432667893982,1,0,0,0,955,0,0,1705
"344",6.36326154177041,33.4267722313561,1,0,0,0,1256,0,0,1026
"345",5.87259948909517,35.2276823659758,1,0,0,0,231,0,0,1402
"346",4.32636989760313,28.5679547889098,1,0,0,0,555,0,0,1499
"347",4.94635428972798,32.6891143466505,1,0,0,0,735,0,0,1551
"348",4.2805090741757,23.5952581724402,1,0,0,0,276,0,0,1376
"349",4.92225245891074,30.4015244660631,1,0,0,0,305,0,0,1429
"350",3.86826490108578,23.4008171796729,1,0,0,0,637,0,0,1459
"351",3.91680250537006,28.527455161321,1,0,0,0,1277,0,0,1763
"352",4.73083179374057,25.9949576377066,1,0,0,0,446,0,0,1210
"353",4.73896259452326,32.9092854167597,1,0,0,0,1230,0,0,1778
"354",5.27376580549302,38.0719275845526,1,0,0,0,994,0,0,1692
"355",3.87313330522492,13.995242466834,1,0,0,0,2534,0,0,835
"356",6.72765165494943,43.3536025399176,1,0,0,0,319,0,0,1534
"357",4.48383061605454,23.8739688966332,1,0,0,0,189,0,0,1270
"358",3.4960148865723,20.4129565467853,1,0,0,0,239,0,0,1255
"359",4.46792400249049,27.6573993883094,1,0,0,0,970,0,0,1673
"360",5.06131607139954,23.1794053576289,1,0,0,0,1603,0,0,971
"361",5.10481362791122,34.1072403953201,1,0,0,0,1020,0,0,1681
"362",4.51569255896587,25.6958043273892,1,0,0,0,233,0,0,1425
"363",5.75964363850748,41.2960447684423,1,0,0,0,1119,0,0,1791
"364",3.61684937409237,18.303150761115,1,0,0,0,434,0,0,1132
"365",5.1194114812778,19.1800986784425,1,0,0,0,3434,0,0,848
"366",3.40364143943261,21.8093477867397,1,0,0,0,1098,0,0,1664
"367",2.5496815402274,15.7626258557342,1,0,0,0,1148,0,0,1656
"368",4.2136184504039,20.8895954524415,1,0,0,0,605,0,0,1119
"369",6.0102612478227,33.8844610650432,1,0,0,0,663,0,0,1236
"370",5.27742123516082,32.2081497508661,1,0,0,0,330,0,0,1426
"371",3.83121056427411,26.1459567472983,1,0,0,0,1146,0,0,1752
"372",5.26633065745092,34.5462607595285,1,0,0,0,864,0,0,1605
"373",4.36480259921094,22.193514947501,1,0,0,0,1035,0,0,1110
"374",4.17333429524511,21.015562247682,1,0,0,0,624,0,0,1139
"375",4.18873041529624,29.0309686355628,1,0,0,0,1136,0,0,1748
"376",4.25387404358892,27.6000324785762,1,0,0,0,1008,0,0,1686
"377",5.11533417569893,29.9089771212257,1,0,0,0,21,0,0,1349
"378",5.07063801880893,22.7673611284055,1,0,0,0,1822,0,0,984
"379",6.81293345701574,51.3804921608381,1,0,0,0,1103,0,0,1789
"380",4.66628907100573,20.7889499463355,1,0,0,0,1651,0,0,962
"381",5.09776326049407,32.8113989922428,1,0,0,0,514,0,0,1564
"382",4.79616256235919,28.6735050578743,1,0,0,0,434,0,0,1443
"383",4.25517754695615,28.0204840520033,1,0,0,0,893,0,0,1600
"384",4.78504008974742,23.6357653267128,1,0,0,0,938,0,0,1096
"385",5.68023757087546,39.670078457476,1,0,0,0,637,0,0,1574
"386",4.43161248060412,25.4945273560795,1,0,0,0,215,0,0,1308
"387",3.39510941287506,17.855221648066,1,0,0,0,104,0,0,1308
"388",5.47222022090046,20.8999721832943,1,0,0,0,2986,0,0,852
"389",6.12238429740459,46.0103106935537,1,0,0,0,1253,0,0,1833
